INFO	Valeur Threshold	Nombre d'erosions	Taille d'erosion	Nombre dilatation	Taille dilatation
MIN	140	1	1	1	1
MIN	160	3	3	3	3

Nombre Comp trouve	Valeur Threshold	Nombre d'erosions	Taille d'erosion	Nombre dilatation	Taille dilatation
52	144	2	1	1	3
52	144	2	1	2	1
52	144	2	1	2	2
52	144	2	1	2	3
52	144	2	1	3	1
52	144	2	1	3	2
52	144	2	1	3	3
52	144	2	2	1	1
52	144	2	2	1	2
52	144	2	2	1	3
52	144	2	2	2	1
52	144	2	2	2	2
52	144	2	2	2	3
52	144	2	2	3	1
52	144	2	2	3	2
52	144	2	2	3	3
52	144	2	3	1	1
52	144	2	3	1	2
52	144	2	3	1	3
52	144	2	3	2	1
52	144	2	3	2	2
52	144	2	3	2	3
52	144	2	3	3	1
52	144	2	3	3	2
52	144	2	3	3	3
2	144	3	1	1	1
2	144	3	1	1	2
2	144	3	1	1	3
2	144	3	1	2	1
2	144	3	1	2	2
2	144	3	1	2	3
2	144	3	1	3	1
2	144	3	1	3	2
2	144	3	1	3	3
2	144	3	2	1	1
2	144	3	2	1	2
2	144	3	2	1	3
2	144	3	2	2	1
2	144	3	2	2	2
2	144	3	2	2	3
2	144	3	2	3	1
2	144	3	2	3	2
2	144	3	2	3	3
2	144	3	3	1	1
2	144	3	3	1	2
2	144	3	3	1	3
2	144	3	3	2	1
2	144	3	3	2	2
2	144	3	3	2	3
2	144	3	3	3	1
2	144	3	3	3	2
2	144	3	3	3	3
77	145	1	1	1	1
77	145	1	1	1	2
77	145	1	1	1	3
72	145	1	1	2	1
72	145	1	1	2	2
72	145	1	1	2	3
44	145	1	1	3	1
44	145	1	1	3	2
44	145	1	1	3	3
77	145	1	2	1	1
77	145	1	2	1	2
77	145	1	2	1	3
72	145	1	2	2	1
72	145	1	2	2	2
72	145	1	2	2	3
44	145	1	2	3	1
44	145	1	2	3	2
44	145	1	2	3	3
77	145	1	3	1	1
77	145	1	3	1	2
77	145	1	3	1	3
72	145	1	3	2	1
72	145	1	3	2	2
72	145	1	3	2	3
44	145	1	3	3	1
44	145	1	3	3	2
44	145	1	3	3	3
51	145	2	1	1	1
51	145	2	1	1	2
51	145	2	1	1	3
51	145	2	1	2	1
51	145	2	1	2	2
51	145	2	1	2	3
51	145	2	1	3	1
51	145	2	1	3	2
51	145	2	1	3	3
51	145	2	2	1	1
51	145	2	2	1	2
51	145	2	2	1	3
51	145	2	2	2	1
51	145	2	2	2	2
51	145	2	2	2	3
51	145	2	2	3	1
51	145	2	2	3	2
51	145	2	2	3	3
51	145	2	3	1	1
51	145	2	3	1	2
51	145	2	3	1	3
51	145	2	3	2	1
51	145	2	3	2	2
51	145	2	3	2	3
51	145	2	3	3	1
51	145	2	3	3	2
51	145	2	3	3	3
2	145	3	1	1	1
2	145	3	1	1	2
2	145	3	1	1	3
2	145	3	1	2	1
2	145	3	1	2	2
2	145	3	1	2	3
2	145	3	1	3	1
2	145	3	1	3	2
2	145	3	1	3	3
2	145	3	2	1	1
2	145	3	2	1	2
2	145	3	2	1	3
2	145	3	2	2	1
2	145	3	2	2	2
2	145	3	2	2	3
2	145	3	2	3	1
2	145	3	2	3	2
2	145	3	2	3	3
2	145	3	3	1	1
